Date,Time,Status
17 Oct 2022,15:03:30.453,0x4080000102601
17 Oct 2022,15:03:33.364,0x4080000102605
17 Oct 2022,15:03:35.584,0x408280010260d
17 Oct 2022,15:03:38.180,0x408380010260d
17 Oct 2022,15:03:40.427,0x408480010260d
17 Oct 2022,15:03:43.263,0x408580010260d
17 Oct 2022,15:03:45.558,0x408680010260d
17 Oct 2022,15:03:48.454,0x408780010260d
17 Oct 2022,15:03:50.734,0x408880010260d
17 Oct 2022,15:03:53.688,0x408980010260d
17 Oct 2022,15:03:55.773,0x408a80010260d
17 Oct 2022,15:03:58.908,0x408b80010260d
17 Oct 2022,15:04:00.949,0x408c80010260d
17 Oct 2022,15:04:03.920,0x408d80010260d
17 Oct 2022,15:04:06.678,0x408e80010260d
17 Oct 2022,15:04:09.049,0x408f80010260d
17 Oct 2022,15:04:11.883,0x409080010260d
17 Oct 2022,15:04:14.242,0x409180010260d
17 Oct 2022,15:04:16.803,0x409280010260d
17 Oct 2022,15:04:19.083,0x409380010260d
17 Oct 2022,15:04:21.978,0x409480010260d
17 Oct 2022,15:04:24.575,0x409900058260d
17 Oct 2022,15:04:26.914,0x409900058260d
17 Oct 2022,15:04:34.668,0x409900028260d
17 Oct 2022,15:04:40.458,0x408000028260d
17 Oct 2022,15:05:09.438,0x408000028260d
17 Oct 2022,15:05:40.519,0x408000028260d
17 Oct 2022,15:06:10.225,0x408000028260d
17 Oct 2022,15:06:38.524,0x408000028260d
17 Oct 2022,15:07:09.411,0x408000028260d
17 Oct 2022,15:07:38.899,0x408000028260d
17 Oct 2022,15:08:09.649,0x408000028260d
17 Oct 2022,15:08:39.215,0x408000028260d
17 Oct 2022,15:09:10.506,0x408000028260d
17 Oct 2022,15:09:39.307,0x408000028260d
17 Oct 2022,15:10:09.171,0x408000028260d
17 Oct 2022,15:10:39.051,0x408000028260d
17 Oct 2022,15:11:10.341,0x408000028260d
17 Oct 2022,15:11:40.537,0x408000028260d
17 Oct 2022,15:12:10.506,0x408000028260d
17 Oct 2022,15:12:38.767,0x408000028260d
17 Oct 2022,15:13:10.842,0x408000028260d
17 Oct 2022,15:13:40.042,0x408000028260d
17 Oct 2022,15:14:09.777,0x408000028260d
17 Oct 2022,15:14:40.254,0x408000028260d
17 Oct 2022,15:15:08.589,0x408000028260d
17 Oct 2022,15:15:39.563,0x408000028260d
17 Oct 2022,15:16:10.343,0x408000028260d
17 Oct 2022,15:16:40.838,0x408000028260d
17 Oct 2022,15:17:11.079,0x408000028260d
17 Oct 2022,15:17:40.014,0x408000028260d
17 Oct 2022,15:18:08.604,0x408000028260d
17 Oct 2022,15:18:40.330,0x408000028260d
17 Oct 2022,15:18:45.789,0x408000028260d
17 Oct 2022,15:18:48.303,0x4080000282605
17 Oct 2022,15:18:49.585,0x4080000282605
17 Oct 2022,15:18:50.934,0x408000028260d
17 Oct 2022,15:18:53.250,0x408000028260d
17 Oct 2022,15:18:55.720,0x408000028260d
17 Oct 2022,15:18:58.870,0x408000028260d
17 Oct 2022,15:19:04.165,0x4080000282605
17 Oct 2022,15:19:06.355,0x408000028260d
17 Oct 2022,15:19:11.605,0x408000028260d
17 Oct 2022,15:19:39.954,0x408000028260d
17 Oct 2022,15:19:49.720,0x408000028260d
17 Oct 2022,15:19:52.570,0x408000028260d
17 Oct 2022,15:19:57.175,0x408000028260d
17 Oct 2022,15:20:04.615,0x408000028260d
17 Oct 2022,15:20:06.730,0x4080000282605
17 Oct 2022,15:20:13.915,0x4080000202605
17 Oct 2022,15:20:24.535,0x408000020260d
17 Oct 2022,15:20:26.175,0x4080000282605
17 Oct 2022,15:20:32.433,0x408000028260d
17 Oct 2022,15:20:34.063,0x4080000282605
17 Oct 2022,15:20:36.985,0x408000028260d
17 Oct 2022,15:20:38.426,0x408000028260d
17 Oct 2022,15:20:40.241,0x408000028260d
17 Oct 2022,15:20:43.165,0x408000028260d
17 Oct 2022,15:20:45.944,0x4080000282605
17 Oct 2022,15:20:47.006,0x408000028260d
17 Oct 2022,15:20:48.955,0x4080000282605
17 Oct 2022,15:20:50.696,0x4080000282605
17 Oct 2022,15:20:56.590,0x408000028260d
17 Oct 2022,15:21:27.910,0x408000028260d
17 Oct 2022,15:21:56.861,0x408000028260d
17 Oct 2022,15:22:28.107,0x408000028260d
17 Oct 2022,15:22:57.881,0x408000028260d
17 Oct 2022,15:23:26.895,0x408000028260d
17 Oct 2022,15:23:57.357,0x408000028260d
17 Oct 2022,15:24:27.136,0x408000028260d
17 Oct 2022,15:24:57.318,0x408000028260d
17 Oct 2022,15:25:28.244,0x408000028260d
17 Oct 2022,15:25:58.483,0x408000028260d
17 Oct 2022,15:26:27.672,0x408000028260d
17 Oct 2022,15:26:57.553,0x408000028260d
17 Oct 2022,15:27:27.088,0x408000028260d
17 Oct 2022,15:27:56.908,0x408000028260d
17 Oct 2022,15:28:26.804,0x408000028260d
17 Oct 2022,15:28:57.749,0x408000028260d
17 Oct 2022,15:29:27.434,0x408000028260d
17 Oct 2022,15:29:58.020,0x408000028260d
17 Oct 2022,15:30:29.175,0x408000028260d
17 Oct 2022,15:30:34.755,0x408000028260d
